
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.251136e+00
     Dipolar cutoffs Rcut = 1.046777e+01, Lcut = 2.887877e+02

QF = 1, QDEPL = 0: h2 = 1.989378e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.514595e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512308e+00, DY = 1.635589e-01, DZ = 1.635589e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.337576e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
101       1.50620361151e+05   0.000000e+00   -5.302650e-01  2.891439e+01  
102       1.50620354207e+05   0.000000e+00   -5.302641e-01  2.891441e+01  
103       1.50620347069e+05   0.000000e+00   -5.302613e-01  2.891443e+01  
104       1.50620339741e+05   0.000000e+00   -5.302568e-01  2.891445e+01  
105       1.50620332232e+05   0.000000e+00   -5.302506e-01  2.891446e+01  
106       1.50620324555e+05   0.000000e+00   -5.302426e-01  2.891448e+01  
107       1.50620316722e+05   0.000000e+00   -5.302324e-01  2.891450e+01  
108       1.50620308733e+05   0.000000e+00   -5.302198e-01  2.891452e+01  
109       1.50620300590e+05   0.000000e+00   -5.302047e-01  2.891453e+01  
110       1.50620292301e+05   0.000000e+00   -5.301870e-01  2.891455e+01  
111       1.50620283889e+05   0.000000e+00   -5.301669e-01  2.891456e+01  
112       1.50620275371e+05   0.000000e+00   -5.301444e-01  2.891457e+01  
113       1.50620266753e+05   0.000000e+00   -5.301198e-01  2.891458e+01  
114       1.50620258038e+05   0.000000e+00   -5.300935e-01  2.891460e+01  
115       1.50620249234e+05   0.000000e+00   -5.300657e-01  2.891461e+01  
116       1.50620240351e+05   0.000000e+00   -5.300371e-01  2.891462e+01  
117       1.50620231402e+05   0.000000e+00   -5.300081e-01  2.891463e+01  
118       1.50620222401e+05   0.000000e+00   -5.299794e-01  2.891464e+01  
119       1.50620213369e+05   0.000000e+00   -5.299518e-01  2.891464e+01  
120       1.50620204317e+05   0.000000e+00   -5.299257e-01  2.891465e+01  
121       1.50620195253e+05   0.000000e+00   -5.299016e-01  2.891466e+01  
122       1.50620186172e+05   0.000000e+00   -5.298792e-01  2.891466e+01  
123       1.50620177076e+05   0.000000e+00   -5.298581e-01  2.891467e+01  
124       1.50620167976e+05   0.000000e+00   -5.298374e-01  2.891467e+01  
125       1.50620158893e+05   0.000000e+00   -5.298161e-01  2.891468e+01  
126       1.50620149851e+05   0.000000e+00   -5.297931e-01  2.891468e+01  
127       1.50620140871e+05   0.000000e+00   -5.297672e-01  2.891468e+01  
128       1.50620131964e+05   0.000000e+00   -5.297379e-01  2.891469e+01  
129       1.50620123133e+05   0.000000e+00   -5.297044e-01  2.891469e+01  
130       1.50620114376e+05   0.000000e+00   -5.296665e-01  2.891469e+01  
131       1.50620105694e+05   0.000000e+00   -5.296240e-01  2.891469e+01  
132       1.50620097094e+05   0.000000e+00   -5.295772e-01  2.891469e+01  
133       1.50620088593e+05   0.000000e+00   -5.295260e-01  2.891469e+01  
134       1.50620080210e+05   0.000000e+00   -5.294709e-01  2.891469e+01  
135       1.50620071974e+05   0.000000e+00   -5.294123e-01  2.891469e+01  
136       1.50620063904e+05   0.000000e+00   -5.293511e-01  2.891469e+01  
137       1.50620056019e+05   0.000000e+00   -5.292881e-01  2.891469e+01  
138       1.50620048327e+05   0.000000e+00   -5.292247e-01  2.891469e+01  
139       1.50620040832e+05   0.000000e+00   -5.291625e-01  2.891469e+01  
140       1.50620033534e+05   0.000000e+00   -5.291029e-01  2.891469e+01  
141       1.50620026434e+05   0.000000e+00   -5.290476e-01  2.891468e+01  
142       1.50620019532e+05   0.000000e+00   -5.289980e-01  2.891468e+01  
143       1.50620012836e+05   0.000000e+00   -5.289550e-01  2.891468e+01  
144       1.50620006355e+05   0.000000e+00   -5.289194e-01  2.891468e+01  
145       1.50620000102e+05   0.000000e+00   -5.288913e-01  2.891468e+01  
146       1.50619994087e+05   0.000000e+00   -5.288704e-01  2.891467e+01  
147       1.50619988324e+05   0.000000e+00   -5.288558e-01  2.891467e+01  
148       1.50619982818e+05   0.000000e+00   -5.288464e-01  2.891467e+01  
149       1.50619977577e+05   0.000000e+00   -5.288408e-01  2.891467e+01  
150       1.50619972602e+05   0.000000e+00   -5.288377e-01  2.891467e+01  
151       1.50619967897e+05   0.000000e+00   -5.288354e-01  2.891467e+01  
152       1.50619963461e+05   0.000000e+00   -5.288327e-01  2.891467e+01  
153       1.50619959297e+05   0.000000e+00   -5.288281e-01  2.891466e+01  
154       1.50619955408e+05   0.000000e+00   -5.288206e-01  2.891466e+01  
155       1.50619951801e+05   0.000000e+00   -5.288095e-01  2.891466e+01  
156       1.50619948482e+05   0.000000e+00   -5.287942e-01  2.891466e+01  
157       1.50619945462e+05   0.000000e+00   -5.287742e-01  2.891466e+01  
158       1.50619942749e+05   0.000000e+00   -5.287496e-01  2.891466e+01  
159       1.50619940353e+05   0.000000e+00   -5.287205e-01  2.891466e+01  
160       1.50619938281e+05   0.000000e+00   -5.286872e-01  2.891466e+01  
161       1.50619936540e+05   0.000000e+00   -5.286501e-01  2.891466e+01  
162       1.50619935133e+05   0.000000e+00   -5.286098e-01  2.891467e+01  
163       1.50619934063e+05   0.000000e+00   -5.285668e-01  2.891467e+01  
164       1.50619933329e+05   0.000000e+00   -5.285218e-01  2.891467e+01  
165       1.50619932931e+05   0.000000e+00   -5.284753e-01  2.891467e+01  
166       1.50619932869e+05   0.000000e+00   -5.284283e-01  2.891468e+01  
