
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.800000e+01 * a0, G = 1.401257e+04, G * par = 2.802513e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.411538e+00
     Dipolar cutoff Rcut = 6.520532e+00, Lcut = 2.093893e+02

QF = 1: h2 = 1.761005e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.206189e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.271708e+00, DY = 1.018833e-01, DZ = 1.018833e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 5.190105e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
191       2.108708e+01   2.106689e+01   6.522385e-01   6.522385e-01  
192       2.108798e+01   2.106780e+01   6.522274e-01   6.522274e-01  
193       2.108889e+01   2.106871e+01   6.522220e-01   6.522220e-01  
194       2.108980e+01   2.106962e+01   6.522224e-01   6.522224e-01  
195       2.109072e+01   2.107054e+01   6.522285e-01   6.522285e-01  
196       2.109164e+01   2.107146e+01   6.522403e-01   6.522403e-01  
197       2.109256e+01   2.107238e+01   6.522578e-01   6.522578e-01  
198       2.109349e+01   2.107331e+01   6.522808e-01   6.522808e-01  
199       2.109442e+01   2.107424e+01   6.523092e-01   6.523092e-01  
200       2.109536e+01   2.107518e+01   6.523426e-01   6.523426e-01  
201       2.109630e+01   2.107612e+01   6.523810e-01   6.523810e-01  
202       2.109725e+01   2.107706e+01   6.524241e-01   6.524241e-01  
203       2.109820e+01   2.107801e+01   6.524718e-01   6.524718e-01  
204       2.109915e+01   2.107896e+01   6.525236e-01   6.525236e-01  
205       2.110010e+01   2.107991e+01   6.525795e-01   6.525795e-01  
206       2.110106e+01   2.108086e+01   6.526390e-01   6.526390e-01  
207       2.110202e+01   2.108182e+01   6.527020e-01   6.527020e-01  
208       2.110298e+01   2.108278e+01   6.527682e-01   6.527682e-01  
209       2.110394e+01   2.108373e+01   6.528374e-01   6.528374e-01  
210       2.110490e+01   2.108469e+01   6.529094e-01   6.529094e-01  
211       2.110586e+01   2.108565e+01   6.529840e-01   6.529840e-01  
212       2.110683e+01   2.108661e+01   6.530613e-01   6.530613e-01  
213       2.110779e+01   2.108757e+01   6.531412e-01   6.531412e-01  
214       2.110875e+01   2.108852e+01   6.532238e-01   6.532238e-01  
215       2.110970e+01   2.108947e+01   6.533092e-01   6.533092e-01  
216       2.111064e+01   2.109041e+01   6.533979e-01   6.533979e-01  
217       2.111158e+01   2.109134e+01   6.534905e-01   6.534905e-01  
218       2.111250e+01   2.109225e+01   6.535877e-01   6.535877e-01  
219       2.111339e+01   2.109315e+01   6.536907e-01   6.536907e-01  
220       2.111427e+01   2.109401e+01   6.538011e-01   6.538011e-01  
221       2.111510e+01   2.109484e+01   6.539205e-01   6.539205e-01  
222       2.111590e+01   2.109563e+01   6.540514e-01   6.540514e-01  
223       2.111665e+01   2.109637e+01   6.541966e-01   6.541966e-01  
224       2.111733e+01   2.109705e+01   6.543593e-01   6.543593e-01  
225       2.111795e+01   2.109765e+01   6.545433e-01   6.545433e-01  
226       2.111849e+01   2.109818e+01   6.547529e-01   6.547529e-01  
227       2.111893e+01   2.109861e+01   6.549928e-01   6.549928e-01  
228       2.111927e+01   2.109893e+01   6.552682e-01   6.552682e-01  
229       2.111948e+01   2.109912e+01   6.555845e-01   6.555845e-01  
230       2.111957e+01   2.109919e+01   6.559474e-01   6.559474e-01  
231       2.111953e+01   2.109912e+01   6.563631e-01   6.563631e-01  
232       2.111934e+01   2.109890e+01   6.568376e-01   6.568376e-01  
233       2.111901e+01   2.109854e+01   6.573768e-01   6.573768e-01  
234       2.111855e+01   2.109804e+01   6.579868e-01   6.579867e-01  
235       2.111797e+01   2.109741e+01   6.586729e-01   6.586729e-01  
236       2.111728e+01   2.109667e+01   6.594404e-01   6.594404e-01  
237       2.111649e+01   2.109584e+01   6.602937e-01   6.602937e-01  
238       2.111564e+01   2.109492e+01   6.612368e-01   6.612368e-01  
239       2.111472e+01   2.109393e+01   6.622728e-01   6.622728e-01  
240       2.111375e+01   2.109290e+01   6.634044e-01   6.634044e-01  
241       2.111276e+01   2.109182e+01   6.646335e-01   6.646335e-01  
242       2.111175e+01   2.109073e+01   6.659613e-01   6.659613e-01  
243       2.111074e+01   2.108963e+01   6.673885e-01   6.673885e-01  
244       2.110977e+01   2.108856e+01   6.689153e-01   6.689153e-01  
245       2.110884e+01   2.108753e+01   6.705415e-01   6.705415e-01  
246       2.110799e+01   2.108657e+01   6.722663e-01   6.722663e-01  
247       2.110725e+01   2.108572e+01   6.740888e-01   6.740888e-01  
248       2.110665e+01   2.108499e+01   6.760072e-01   6.760072e-01  
249       2.110621e+01   2.108442e+01   6.780195e-01   6.780195e-01  
250       2.110596e+01   2.108403e+01   6.801229e-01   6.801229e-01  
251       2.110591e+01   2.108384e+01   6.823140e-01   6.823140e-01  
252       2.110607e+01   2.108385e+01   6.845888e-01   6.845888e-01  
253       2.110647e+01   2.108410e+01   6.869429e-01   6.869429e-01  
254       2.110711e+01   2.108458e+01   6.893712e-01   6.893712e-01  
255       2.110800e+01   2.108531e+01   6.918678e-01   6.918678e-01  
256       2.110915e+01   2.108629e+01   6.944262e-01   6.944262e-01  
257       2.111056e+01   2.108754e+01   6.970391e-01   6.970391e-01  
258       2.111225e+01   2.108905e+01   6.996991e-01   6.996991e-01  
259       2.111421e+01   2.109083e+01   7.023979e-01   7.023979e-01  
260       2.111644e+01   2.109288e+01   7.051274e-01   7.051274e-01  
261       2.111894e+01   2.109520e+01   7.078790e-01   7.078790e-01  
262       2.112173e+01   2.109781e+01   7.106443e-01   7.106443e-01  
263       2.112480e+01   2.110069e+01   7.134144e-01   7.134144e-01  
264       2.112814e+01   2.110385e+01   7.161806e-01   7.161806e-01  
265       2.113176e+01   2.110728e+01   7.189341e-01   7.189341e-01  
266       2.113565e+01   2.111100e+01   7.216663e-01   7.216663e-01  
267       2.113982e+01   2.111499e+01   7.243690e-01   7.243690e-01  
268       2.114426e+01   2.111925e+01   7.270346e-01   7.270346e-01  
269       2.114898e+01   2.112379e+01   7.296562e-01   7.296562e-01  
270       2.115395e+01   2.112859e+01   7.322275e-01   7.322275e-01  
271       2.115919e+01   2.113366e+01   7.347426e-01   7.347426e-01  
272       2.116469e+01   2.113900e+01   7.371966e-01   7.371966e-01  
273       2.117043e+01   2.114458e+01   7.395851e-01   7.395851e-01  
274       2.117642e+01   2.115041e+01   7.419046e-01   7.419046e-01  
275       2.118265e+01   2.115649e+01   7.441523e-01   7.441523e-01  
276       2.118911e+01   2.116281e+01   7.463265e-01   7.463265e-01  
277       2.119581e+01   2.116936e+01   7.484266e-01   7.484266e-01  
278       2.120272e+01   2.117614e+01   7.504526e-01   7.504526e-01  
279       2.120986e+01   2.118315e+01   7.524058e-01   7.524058e-01  
280       2.121720e+01   2.119037e+01   7.542879e-01   7.542879e-01  
281       2.122474e+01   2.119779e+01   7.561015e-01   7.561015e-01  
