
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.500000e+01 * a0, G = 1.347362e+04, G * par = 2.694724e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.468000e+00
     Dipolar cutoffs Rcut = 5.847901e+00, Lcut = 1.936235e+02

QF = 1, QDEPL = 0: h2 = 1.696559e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.469722e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.025367e+00, DY = 9.137345e-02, DZ = 9.137345e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 4.174554e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
157       1.50154673690e+05   0.000000e+00   -3.581091e+00  1.940746e+01  
158       1.50154676946e+05   0.000000e+00   -3.580550e+00  1.940746e+01  
159       1.50154682030e+05   0.000000e+00   -3.579780e+00  1.940745e+01  
160       1.50154688894e+05   0.000000e+00   -3.578731e+00  1.940745e+01  
161       1.50154697234e+05   0.000000e+00   -3.577336e+00  1.940744e+01  
162       1.50154706347e+05   0.000000e+00   -3.575513e+00  1.940744e+01  
163       1.50154715177e+05   0.000000e+00   -3.573157e+00  1.940744e+01  
164       1.50154722675e+05   0.000000e+00   -3.570135e+00  1.940743e+01  
165       1.50154726495e+05   0.000000e+00   -3.566263e+00  1.940743e+01  
166       1.50154723538e+05   0.000000e+00   -3.561290e+00  1.940743e+01  
167       1.50154708108e+05   0.000000e+00   -3.554885e+00  1.940744e+01  
168       1.50154670918e+05   0.000000e+00   -3.546625e+00  1.940745e+01  
169       1.50154598053e+05   0.000000e+00   -3.535986e+00  1.940746e+01  
170       1.50154469592e+05   0.000000e+00   -3.522332e+00  1.940748e+01  
171       1.50154259724e+05   0.000000e+00   -3.504909e+00  1.940752e+01  
172       1.50153937229e+05   0.000000e+00   -3.482848e+00  1.940757e+01  
173       1.50153467231e+05   0.000000e+00   -3.455185e+00  1.940764e+01  
174       1.50152817129e+05   0.000000e+00   -3.420905e+00  1.940773e+01  
175       1.50151962449e+05   0.000000e+00   -3.379001e+00  1.940785e+01  
176       1.50150895605e+05   0.000000e+00   -3.328553e+00  1.940801e+01  
177       1.50149639099e+05   0.000000e+00   -3.268828e+00  1.940821e+01  
178       1.50148254394e+05   0.000000e+00   -3.199386e+00  1.940844e+01  
179       1.50146852245e+05   0.000000e+00   -3.120134e+00  1.940871e+01  
180       1.50145590227e+05   0.000000e+00   -3.031305e+00  1.940901e+01  
181       1.50144660918e+05   0.000000e+00   -2.933394e+00  1.940934e+01  
182       1.50144270952e+05   0.000000e+00   -2.827140e+00  1.940969e+01  
183       1.50144613559e+05   0.000000e+00   -2.713565e+00  1.941005e+01  
184       1.50145849221e+05   0.000000e+00   -2.594026e+00  1.941041e+01  
185       1.50148103772e+05   0.000000e+00   -2.470242e+00  1.941076e+01  
186       1.50151478400e+05   0.000000e+00   -2.344247e+00  1.941110e+01  
187       1.50156061435e+05   0.000000e+00   -2.218281e+00  1.941142e+01  
188       1.50161936826e+05   0.000000e+00   -2.094605e+00  1.941173e+01  
189       1.50169168000e+05   0.000000e+00   -1.975304e+00  1.941200e+01  
190       1.50177779838e+05   0.000000e+00   -1.862153e+00  1.941225e+01  
